nmap 7.92-1
node-gyp 8.4.1-1
nodejs 17.3.1-1
nodejs-nopt 5.0.0-2
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20211101-1
npm 8.5.0-1
npth 1.6-3
nspr 4.33-1
nss 3.75-1
ntp 4.2.8.p15-1
numactl 2.0.14-2
nvidia 510.54-1
nvidia-settings 510.54-1
nvidia-utils 510.54-1
obs-studio 27.1.3-3
ocl-icd 2.3.1-1
onednn 2.5-1
oniguruma 6.9.7.1-1
openal 1.21.1-2
opencl-nvidia 510.54-1
opencollada 1:1.6.68-2
opencolorio 2.1.1-2
opencore-amr 0.1.5-5
opencv 4.5.5-1
openexr 3.1.4-1
openimagedenoise 1.4.2-1
openimageio 2.2.18.0-4
openjpeg2 2.4.0-1
openmp 13.0.1-1
openmpi 4.1.2-1
openshadinglanguage 1.11.17.0-1
openssh 8.8p1-1
openssl 1.1.1.m-1
openssl-1.0 1.0.2.u-1
opensubdiv 3.4.4-9
openvdb 9.0.0-9
openxr 1.0.22-1
opus 1.3.1-3
orc 0.4.32-1
os-prober 1.79-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-3
pacman-mirrorlist 20220116-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pandoc 2.14.2-35
pango 1:1.50.4-1
pangomm 2.46.2-1
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-2
pcre 8.45-1
pcre2 10.39-1
perl 5.34.0-3
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
pinentry 1.2.0-1
pipewire 1:0.3.45-1
pixman 0.40.0-1
pkgconf 1.8.0-1
polkit 0.120-4
poppler 22.02.0-2
poppler-glib 22.02.0-2
popt 1.18-3
portsmf 234-2
postgresql 13.5-1
postgresql-libs 13.5-1
potrace 1.16-2
procps-ng 3.3.17-1
protobuf 3.19.4-1
psmisc 23.4-1
ptex 2.4.1-3
pugixml 1.11.4-1
pulseaudio 15.0-1
pybind11 2.9.1-1
pystring 1.1.3.git1-1
python 3.10.2-1
python-appdirs 1.4.4-6
python-cachecontrol 1:0.12.6-4
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-distlib 0.3.4-1
python-distro 1.6.0-4
python-evdev 1.4.0-3
python-future 0.18.2-7
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-4
python-llvmlite 0.38.0-1
python-lxml 4.7.1-1
python-more-itertools 8.10.0-4
python-msgpack 1.0.3-1
python-numba 0.55.1-1
python-numpy 1.22.2-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-pep517 0.12.0-4
python-pillow 9.0.1-1
python-pip 20.3.4-4
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pyopenssl 21.0.0-5
python-pyparsing 2.4.7-6
python-pytorch-cuda 1.10.2-1
python-requests 2.27.0-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:59.3.0-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.0-1
python-typing_extensions 4.1.0-1
python-urllib3 1.26.8-1
python-wand 0.6.7-3
python-webencodings 0.5.1-9
python-yaml 5.4.1.1-4
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r298-1
qt5-declarative 5.15.2+kde+r46-1
qt5-location 5.15.2-5
qt5-sensors 5.15.2-2
qt5-svg 5.15.2+kde+r16-2
qt5-translations 5.15.2+kde+r22-1
qt5-wayland 5.15.2+kde+r52-1
qt5-webchannel 5.15.2+kde+r5-2
qt5-webengine 5.15.8-7
qt5-webkit 5.212.0alpha4-11
qt5-websockets 5.15.2+kde+r7-2
qt5-x11extras 5.15.2-2
qt5-xmlpatterns 5.15.2-2
quazip-qt5 1.2-2
ragel 6.10-3
rav1e 0.4.1-1
re2 1:20220201-1
readline 8.1.002-1
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
rofi 1.7.3-1
rtkit 0.13-1
run-parts 5.5-1
sassc 3.6.2-3
sbc 1.5-2
sddm 0.19.0-8
sdl2 2.0.20-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shaderc 2021.3-1
shadow 4.11.1-1
shared-mime-info 2.0+115+gd74a913-1
shellcheck 0.8.0-27
slang 2.3.2-2
snappy 1.1.9-2
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.1-1
source-highlight 3.1.9-7
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.4-1
sqlite 3.37.2-1
sratom 0.6.8-3
srt 1.4.4-1
startup-notification 0.12-7
steam 1.0.0.74-1
strace 5.16-1
strip-ansi 0.1.0-1
sudo 1.9.9-2
suil 0.10.10-2
svt-av1 0.9.0-1
sysfsutils 2.1.1-1
systemd 250.3-4
systemd-libs 250.3-4
systemd-sysvcompat 250.3-4
t1lib 5.1.2-8
taglib 1.12-1
tar 1.34-1
tbb 2021.5.0-1
tcl 8.6.12-3
tdb 1.4.6-1
teams 1.4.00.26453-1
texinfo 6.8-2
texlive-bin 2021.59745-1
texlive-core 2021.61403-1
thunderbird 91.6.0-1
tig 2.5.5-1
tinyxml 2.6.2-8
tk 8.6.12-1
tracker3 3.2.1-2
tree 2.0.1-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-fira-code 6.2-1
twolame 0.4.0-2
tzdata 2021e-1
unzip 6.0-16
usbutils 014-2
util-linux 2.37.4-1
util-linux-libs 2.37.4-1
v4l-utils 1.22.1-1
v4l2loopback-dkms 0.12.5-2
vamp-plugin-sdk 2.10.0-1
vid.stab 1.1-3
vim 8.2.4106-1
vim-runtime 8.2.4106-1
visual-studio-code-bin 1.64.0-1
vlc 3.0.16-7
vmaf 1.5.3-1
vulkan-icd-loader 1.2.203-1
vulkan-tools 1.2.203-1
wayland 1.20.0-1
wayland-protocols 1.25-1
webkit2gtk 2.34.5-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
wine 7.2-1
winetricks 20210825-1
woff2 1.0.2-3
wpa_supplicant 2:2.10-2
wpebackend-fdo 1.12.0-1
wxgtk-common 3.0.5.1-3
wxgtk3 3.0.5.1-3
x264 3:0.163.r3060.5db6aa6-1
x265 3.5-1
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.3-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.1-1
xf86-video-vesa 2.5.0-2
xkeyboard-config 2.35.1-1
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 21.1.3-2
xorg-server-common 21.1.3-2
xorg-server-devel 21.1.3-2
xorg-server-xephyr 21.1.3-2
xorg-server-xnest 21.1.3-2
xorg-server-xvfb 21.1.3-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-util-macros 1.19.3-1
xorg-x11perf 1.6.1-2
xorg-xauth 1.1.1-1
